GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.1121,26.7384607883,-0.4926560117,0.5775187477,-0.8530563097,0.3936280783,0.7593079903
KH2013:KH.C1.147,28.0123925968,-0.0763482758,0.5389791732,-0.1416534805,0.8873537215,0.9728895481
KH2013:KH.C1.974,6.9744056953,-1.1119735716,0.660871204,-1.6825874162,0.0924549894,NA
KH2013:KH.C1.133,6576.1403135158,0.4405176904,0.2110422567,2.0873435365,0.036857092,0.2489537143
KH2013:KH.C1.252,1753.138032154,-0.1435745043,0.2535192498,-0.5663258484,0.571172292,0.8551619198
KH2013:KH.C1.999,10.5772836023,-1.2095960298,0.6578130064,-1.8388144017,0.0659424893,NA
KH2013:KH.C1.142,7212.8086358804,0.513024367,0.1889932729,2.7145112577,0.0066373644,0.0932785276
KH2013:KH.C1.113,1156.0467938563,-0.2272155571,0.6191820628,-0.3669608193,0.7136482439,0.9183274571
KH2013:KH.C1.1247,12.1733147179,-0.8545878566,0.6550294499,-1.3046556255,0.1920101379,NA
KH2013:KH.C1.308,32.8722418405,-0.4047722976,0.6556667893,-0.6173445173,0.5370075095,0.8391378176
KH2013:KH.C1.5,94.5637730159,-0.2177244948,0.5070009146,-0.4294360986,0.6676058881,0.9006731351
KH2013:KH.C1.272,27.4227460453,0.0589485553,0.568272073,0.1037329795,0.917381254,0.980713482
KH2013:KH.C1.108,288.1666138717,-0.0471815705,0.3752269354,-0.1257414275,0.8999366077,0.9762361452
KH2013:KH.C1.563,7.2365572478,-0.4534266794,0.6451907826,-0.702779227,0.4821933448,NA
KH2013:KH.C1.847,5.2490052854,0.3862592897,0.660655488,0.5846606843,0.5587758948,NA
KH2013:KH.C1.25,10.3995392301,-0.0412097221,0.6553121445,-0.0628856378,0.9498575716,NA
KH2013:KH.C1.855,3.6745416499,-0.4387900895,0.6520210706,-0.6729691866,0.5009668943,NA
KH2013:KH.C1.891,15.3502607847,-0.6248402128,0.6600959591,-0.946589968,0.3438477579,NA
KH2013:KH.C1.1028,8.8148079219,-0.4505844595,0.662415138,-0.6802146173,0.4963685782,NA
KH2013:KH.C1.857,4.3204906748,-0.6085455591,0.6513937667,-0.9342207282,0.3501900455,NA
KH2013:KH.C1.1255,3.0534695479,-0.1387025846,0.4203187948,-0.3299937721,0.7414046679,NA
KH2013:KH.C1.475,6.8013194672,-0.4331658409,0.6623698467,-0.6539637078,0.5131351876,NA
KH2013:KH.C1.595,1.611124596,-0.1806799684,0.4782157509,-0.3778210317,0.7055635488,NA
KH2013:KH.C1.1169,190.8529361022,-0.1357602279,0.3494824473,-0.3884607909,0.6976750646,0.9111328463
KH2013:KH.C1.729,94.6378671834,0.2993649488,0.4722565663,0.6339032003,0.5261439969,0.8341577697
KH2013:KH.C1.880,199.027372244,0.0891635539,0.3157821842,0.2823577718,0.7776691913,0.9433851164
KH2013:KH.C1.1144,72.4489351326,0.3392418861,0.4439890334,0.7640771744,0.4448212537,0.7869491076
